gene_names	gene_ids	imputed.log2.LFQ.intensity.00h_1	imputed.log2.LFQ.intensity.00h_2	imputed.log2.LFQ.intensity.00h_3	imputed.log2.LFQ.intensity.00h_4	imputed.log2.LFQ.intensity.01h_1	imputed.log2.LFQ.intensity.01h_2	imputed.log2.LFQ.intensity.01h_3	imputed.log2.LFQ.intensity.01h_4	imputed.log2.LFQ.intensity.02h_1	imputed.log2.LFQ.intensity.02h_2	imputed.log2.LFQ.intensity.02h_3	imputed.log2.LFQ.intensity.02h_4	imputed.log2.LFQ.intensity.03h_1	imputed.log2.LFQ.intensity.03h_2	imputed.log2.LFQ.intensity.03h_3	imputed.log2.LFQ.intensity.03h_4	imputed.log2.LFQ.intensity.04h_1	imputed.log2.LFQ.intensity.04h_2	imputed.log2.LFQ.intensity.04h_3	imputed.log2.LFQ.intensity.04h_4	imputed.log2.LFQ.intensity.05h_1	imputed.log2.LFQ.intensity.05h_2	imputed.log2.LFQ.intensity.05h_3	imputed.log2.LFQ.intensity.05h_4	imputed.log2.LFQ.intensity.06h_1	imputed.log2.LFQ.intensity.06h_2	imputed.log2.LFQ.intensity.06h_3	imputed.log2.LFQ.intensity.06h_4	imputed.log2.LFQ.intensity.08h_1	imputed.log2.LFQ.intensity.08h_2	imputed.log2.LFQ.intensity.08h_3	imputed.log2.LFQ.intensity.08h_4	imputed.log2.LFQ.intensity.10h_1	imputed.log2.LFQ.intensity.10h_2	imputed.log2.LFQ.intensity.10h_3	imputed.log2.LFQ.intensity.10h_4	imputed.log2.LFQ.intensity.12h_1	imputed.log2.LFQ.intensity.12h_2	imputed.log2.LFQ.intensity.12h_3	imputed.log2.LFQ.intensity.12h_4	imputed.log2.LFQ.intensity.14h_1	imputed.log2.LFQ.intensity.14h_2	imputed.log2.LFQ.intensity.14h_3	imputed.log2.LFQ.intensity.14h_4	imputed.log2.LFQ.intensity.16h_1	imputed.log2.LFQ.intensity.16h_2	imputed.log2.LFQ.intensity.16h_3	imputed.log2.LFQ.intensity.16h_4	imputed.log2.LFQ.intensity.18h_1	imputed.log2.LFQ.intensity.18h_2	imputed.log2.LFQ.intensity.18h_3	imputed.log2.LFQ.intensity.18h_4	imputed.log2.LFQ.intensity.20h_1	imputed.log2.LFQ.intensity.20h_2	imputed.log2.LFQ.intensity.20h_3	imputed.log2.LFQ.intensity.20h_4
Pp2A-29B	FBgn0260439	33.05560908	32.9057501	32.86413398	32.82602637	33.00239391	33.02830019	33.20881237	32.6772639	32.99767458	33.04051767	33.07236639	32.7119853	33.54995407	33.88203334	33.80125879	33.50970535	33.58003851	33.81038585	33.62842745	33.51371055	33.87920551	33.77558773	33.54547311	33.71794031	33.78302483	33.62875335	33.83695557	33.63935906	33.84277328	33.78916086	33.43415178	33.49678968	33.87105596	33.47230204	33.79129746	33.64302046	33.50237301	33.47339119	33.56274563	33.30986343	33.283198	33.14274203	33.29789078	33.43128991	32.93329342	33.32589728	33.18580001	33.54869162	33.22230743	33.23620509	33.31998954	33.05636841	33.30266454	33.05945007	32.73809805	32.91612944
CG9577	FBgn0031092	32.73321631	32.7047696	32.7753915	32.64941632	32.69041637	32.80170207	32.51960385	32.99300727	32.597615	32.2521435	31.52000213	32.30277347	32.2351781	32.00728169	32.04706746	32.37171102	32.03360988	32.48423767	32.31254363	32.29200418	31.97127589	31.69523741	32.22478154	31.98138309	31.81665479	32.3112989	31.58320332	31.9836271	31.82449079	31.86610719	32.03108076	32.0901467	31.7604984	32.01388396	31.58145343	31.99819598	31.70161297	32.2022435	31.48294039	32.23469288	32.57310105	32.11262763	31.7105081	31.97913559	31.44909033	31.98542659	32.12651006	31.62353013	31.8442334	31.48452579	31.94889897	32.07367563	31.27752817	31.97055613	32.03462684	32.1471319
CG9578	FBgn0031094	22.50843561	22.24324805	22.58674752	22.13583493	22.39804998	22.35702186	22.05524083	22.34380022	22.62858402	21.28834588	22.6041014	22.03348448	26.61988883	27.03590364	26.79930382	27.1419964	26.15218874	26.61820916	27.04812047	27.01595179	26.48362281	26.62156654	26.3283617	27.49648018	26.55910245	26.75353384	26.25887869	26.78069214	26.74419514	26.36705858	25.99802377	26.78306777	26.73910663	26.59590918	27.34604241	26.70767256	25.63020379	25.845947	26.75327878	25.32604841	25.98030609	25.78191961	25.86808091	26.19892908	25.32611701	26.25125205	27.01648323	26.09706361	26.4170759	26.05814916	25.88574161	26.33893832	26.33439305	25.77407909	26.53023153	26.1343193
AnxB10	FBgn0000084	22.40244526	22.40286902	22.27846518	22.94886518	22.81437915	22.27414029	23.20079802	22.86754272	22.85711434	22.58390522	22.05695706	23.02340853	26.20394641	26.06970758	25.33037974	26.13142511	26.80968081	28.06594355	27.22284551	27.50933946	26.44952135	26.88564853	26.66776753	26.34707374	26.23970887	26.35984498	25.85265094	26.15160825	26.59177844	26.81334061	27.13418219	26.93840615	26.85428575	25.78364234	27.48223841	27.21886664	26.55340067	26.63588725	26.63436461	28.03123198	26.76635518	26.88634649	26.70252972	26.9183208	25.36158771	26.71947113	26.10777164	26.53366611	26.7693857	26.92942548	27.12750667	27.27779137	26.07612786	26.45301197	26.92315839	25.24816963
CG9581	FBgn0031093	31.76041908	31.91886812	32.02439177	32.00246098	31.71804241	32.09534402	31.82388369	32.17456399	31.87408307	31.90055928	31.33394115	32.03108076	31.61666774	31.22842743	31.1782498	31.4274236	31.46329117	31.37041239	31.50998844	31.26186926	31.46582281	31.09716652	31.48625334	31.23534932	30.99711934	31.42337157	30.85816108	31.20157182	31.23100557	31.04113808	31.10518325	31.09967653	30.88830771	30.95698501	30.57045695	31.16278975	31.12170189	31.46742713	30.86415244	31.0471975	31.32715626	30.99947344	31.00791655	31.23979382	31.06714961	31.30725967	31.10017801	31.01942916	30.56301849	30.60911205	30.95476847	31.22831274	30.74623114	31.15960559	31.12145489	31.29718019
Rab35	FBgn0031090	28.21252488	29.0793586	28.50373823	28.97426762	29.16283776	28.69829623	28.56670623	28.66824109	29.09727956	28.29140596	28.07321593	28.76528094	29.17752527	29.1716682	29.13508787	29.76641881	29.22527011	29.33342939	29.24968201	29.33890007	29.41675385	29.08570313	29.43318685	29.23867828	29.06958432	29.0398055	28.96732992	28.84750769	29.46618272	29.54449234	29.16300578	29.1823407	29.64813084	29.72746212	28.72991076	28.95029731	28.74230085	29.12708842	28.93733345	29.23093688	29.07671103	29.0857791	28.98882929	29.05035395	28.7174787	29.00608471	28.98307662	29.19178246	29.38205815	28.82623478	28.89296038	28.9335678	28.4854666	28.80143998	29.00790319	29.28389896
alpha-Cat	FBgn0010215	27.57434233	27.22435032	26.00433895	24.9788452	25.86495236	25.50014797	25.433358	26.80378171	28.62641395	29.47082433	28.26878905	29.55354715	30.25169217	30.21812633	31.12976802	30.94558904	30.83499856	30.83582685	30.80708756	30.82744675	31.23277894	30.8883803	31.10774172	30.88212447	31.17468303	31.21315092	31.05465532	31.17241952	30.93677204	31.41129832	31.10767937	31.26494758	31.30470561	31.6014723	31.05180645	31.4192579	31.24132911	31.23968003	31.33330142	31.23529225	31.02775662	30.8749625	31.06143112	31.11085567	30.76974825	30.90073921	31.13565058	30.96602366	30.71996065	30.59245584	31.25135357	30.93283601	31.13766718	30.87349649	30.90913471	31.03858944
CG32230	NA	31.91922341	32.20542243	32.38938547	32.30146576	32.68760359	31.87459614	32.61456315	32.2007537	32.91611164	32.3332481	31.55896566	32.65033688	31.70053855	32.06107699	32.45677125	31.80123952	31.84044901	32.14528037	32.23919632	31.64628632	31.46980601	30.90533767	31.93420781	31.40831477	31.27364324	31.67122262	31.41210635	31.38617632	31.88612842	31.28002011	31.50052221	31.37103588	31.60058647	31.40197325	31.37482296	31.84539296	31.88143175	31.58955685	31.3986646	31.41790082	31.50729689	31.23192113	31.71243637	31.6332649	32.14701056	31.65151348	31.81344728	31.88819883	31.12447779	31.0299297	31.665516	31.8658123	31.59370284	31.64843089	31.94632136	32.05112577
CkIIalpha	FBgn0264492	32.57192649	32.71329711	32.8132179	32.80280003	32.60516474	32.26086038	32.65027267	32.42584916	33.03966826	32.68693606	32.52787482	32.53885264	32.82816587	32.97360409	32.8591984	33.12321388	33.25363755	33.37891013	32.94660025	33.0912192	32.98175734	32.84344737	32.74181886	32.90902739	32.85166085	32.75930822	32.73527592	32.96702065	32.73567942	32.81455544	32.83311431	32.94132722	33.03710065	32.92777722	32.58477193	32.76682949	32.63709297	32.75760058	32.70740515	32.93808751	33.08739874	32.8232004	32.60324231	32.67187638	32.32678136	32.92528538	32.6205182	32.98104279	32.56667448	32.85180976	32.68476442	32.67967754	32.03144233	32.66407521	32.69873918	32.65589056
CG33217	FBgn0053217	28.28916456	28.09501698	28.02854721	27.97152943	27.16786984	27.15508766	28.4432817	28.1706897	28.48841945	29.27041635	29.5346756	28.82061615	29.148872	28.97037784	28.93834345	29.13970536	29.22621229	28.07168257	29.29598779	29.26733853	29.28953837	29.06779072	29.1336679	29.01746587	28.97481463	29.08719639	29.05087286	29.12455174	29.0245635	29.14143616	29.1894278	29.22593659	29.43805468	29.35789623	29.0372676	29.64364842	29.65911469	29.92337382	29.55448062	29.32898651	29.79533671	29.83566123	29.79830658	29.67290072	30.46577417	30.09773165	30.11743511	29.27828174	29.16853946	28.89029527	29.75047025	30.18316933	30.41719665	29.98901884	30.3659883	30.11755897
CG32350	NA	26.08153919	25.97543995	26.23216823	25.58723524	25.03212579	26.26919998	27.22149523	26.74201167	27.65887643	28.47807723	29.41904688	27.7948876	27.82971645	27.5860614	28.00533526	28.40511198	28.40247143	27.84391904	27.82073787	28.25790817	28.76922804	27.65662802	27.52454877	28.110333	27.52641566	28.01393054	27.57094546	27.65164178	28.02554066	27.74104733	27.70655324	27.45826341	27.88797377	26.9587005	27.36277364	27.43221131	26.95836863	26.85424216	27.58333784	26.79253137	27.30634725	26.40913257	27.142386	26.28339121	27.33517715	26.35085463	26.86301525	25.47997437	27.00731511	27.45442469	26.69511293	26.83328022	27.45387546	26.68271089	26.89919832	26.37570553
CG32500;CG33502;CG32857	NA	29.3800979	29.9179795	29.67747814	29.57726302	29.30893095	29.44078935	29.64125553	29.38506557	29.6978987	29.47475509	28.26450023	29.35150769	29.7837079	29.93480536	29.53376635	29.92747702	30.29723486	29.36419398	29.61570352	29.90181829	30.08423369	29.16710418	29.38779976	29.39474551	29.68180658	29.81670056	29.03238857	28.95315934	29.70925129	29.43035795	29.4293805	29.7381343	30.00101834	28.85343925	28.63644053	29.93971703	29.58141751	29.48214222	29.29679742	29.1773114	29.66169901	29.7210044	29.89764136	30.08904183	28.6707416	29.87494785	29.90282471	29.9945591	29.07444146	28.71849159	29.56763123	29.76477493	27.8915705	29.54135677	30.04218237	30.38071721
CG14476	NA	34.86027199	35.17466815	35.18726107	35.01246935	35.25715511	35.33737484	34.95917225	35.31108232	35.24724885	35.18958245	34.59195451	35.42976333	34.53814728	34.47948731	34.63795666	34.67813537	34.55670661	34.55373481	34.39477361	34.46739069	34.55699204	34.42667408	34.51958042	34.37289175	34.08954702	34.6015055	34.25152288	34.38477489	34.21776532	34.32482494	34.65938269	34.42436061	34.22669176	34.43085391	33.83507388	34.42423546	34.25511597	34.49106516	34.03764071	34.18578525	34.29877853	34.40616178	34.40184613	34.38387417	34.64178308	34.26681934	34.26884202	34.07789858	34.03025867	34.21754868	34.20762026	34.20281273	34.44128173	34.23477852	34.05366856	34.06044899
G9a	FBgn0040372	22.52822465	22.58284299	22.57378861	22.01689516	26.07202793	25.4014871	25.95730501	25.15893444	26.21659817	25.65195649	26.01427116	25.95198187	22.33596327	22.80188444	22.61264792	22.37283861	22.66031207	22.68055903	21.99956659	22.58927791	22.81620214	22.51948301	22.05652756	22.677711	22.68640206	17.32702638	22.31393149	22.38622805	22.57670376	22.32676164	22.52234634	22.1209967	27.00450507	26.89573613	26.90286287	27.00195207	26.26261532	26.426011	26.57387983	26.76554505	26.31541108	25.51415468	25.75846661	26.04399071	25.85973954	26.06233474	26.18488781	26.59524088	25.34911733	26.19507528	26.51570429	26.97169387	26.83424516	26.49257387	26.94893377	26.14503251
cin	FBgn0000316	29.119366	28.51686916	27.95127048	28.35934233	28.35241305	28.19802719	28.08931971	28.09365773	28.47324602	27.85067025	28.78419171	28.33564571	29.54977051	29.81407407	29.70340464	30.03249367	29.74651947	29.46386605	29.20219095	29.46979631	29.91056497	30.12989082	29.17169205	29.73261403	30.04700244	29.9515762	30.26382895	29.99064258	29.93719312	30.23968003	29.87878177	29.79539864	29.64828516	29.57392719	30.18600672	30.02181334	30.00878486	29.6318869	30.19812089	29.47465841	29.60955242	29.81602912	29.98847719	29.9511593	29.41934832	29.63009962	29.7456543	29.5534556	29.66146117	29.60236643	29.96306302	29.5156291	29.93142767	29.48254617	29.40369075	29.19117062
CG3777	FBgn0024989	22.97567457	22.62107886	22.55762564	22.38472896	22.52704295	22.34927996	22.18948798	22.59815641	22.74046136	22.76168937	22.05197893	22.55774791	22.49426392	22.19684554	22.54269094	22.21107734	21.88635954	22.14737144	22.19746661	22.81977695	22.44365247	23.7226587	22.77460284	22.57462545	22.72567815	22.39399918	22.60753755	22.61532275	22.49767892	22.64279683	22.6689397	22.39169432	22.71313799	22.83566849	22.47084406	22.31106709	22.31789379	22.62942045	22.30035832	22.48821476	22.93069163	22.57447192	22.4090728	22.34112066	22.14031047	21.94890742	22.00507843	22.56219465	27.06854228	27.22324579	27.46201369	27.318131	27.6363987	27.69077092	27.61694812	27.5253705
CG3156	FBgn0023536	27.69338571	27.46676617	27.62651839	27.74149744	27.33951609	27.87543131	27.21780287	28.04806849	27.38640248	27.36586319	26.83050244	27.45630616	27.20615498	26.68471845	26.94357847	27.6322857	27.2972786	26.82905104	26.30248261	27.31829331	26.91649964	26.89608272	26.15127921	26.42606418	26.96201501	27.10858938	26.40876017	26.65239424	26.82043356	26.7893008	27.08040101	26.77517562	26.87114778	27.0403021	27.06825328	27.14792642	26.94848826	27.48815126	27.20620297	26.75811706	27.60236643	26.95515661	26.87783155	26.97410347	26.77278694	27.44663758	27.00560296	26.68605527	27.06332266	26.6528045	27.02960065	27.0831433	26.78867871	27.25889665	27.77774844	27.53371066
arg	FBgn0023535	21.97261786	22.86668332	23.11370912	22.17847927	22.30873362	21.52858951	22.62804308	22.37927454	22.69698797	22.59481061	21.95170808	22.60117816	22.35968031	22.69380523	22.32577972	22.22720626	22.33369804	22.42274936	22.06732873	22.44348555	22.79201425	21.92283107	23.33641966	22.72800327	22.85150815	22.29095668	23.05140539	22.5002827	22.84341908	21.91258276	22.16075994	22.15893601	22.55599076	22.44814283	22.84940051	22.39690046	22.69679487	21.51013772	22.70839235	22.4041437	22.40314487	22.50042078	22.54816308	22.29793276	26.3641551	26.31195429	25.93651933	25.94735157	25.85720112	25.9654767	26.16700844	25.73272723	27.12643352	26.02305685	27.22020398	27.24834789
CG4293	FBgn0024983	27.08273736	27.50089256	27.75964157	27.11941548	27.32405773	26.85756799	27.46474254	26.71214114	27.30851874	27.52887626	27.26785196	27.50286615	26.44389028	26.62254431	26.49356671	26.93505837	26.80919014	26.14507139	26.92897389	26.76306584	26.38755328	26.49339874	27.14014435	26.94480748	26.69099076	26.91067932	26.43146228	27.08952176	26.83484791	26.81702091	26.75697262	27.17035543	27.52828014	26.56322584	26.85839825	26.66695535	26.52953122	26.59860913	26.52653506	26.49600771	27.03002182	26.88936712	26.65184703	27.07244945	27.43753887	26.85519318	26.73130349	26.59733084	27.27150762	26.85756799	26.73337391	26.82893002	27.14413791	26.78519003	26.72533443	26.63075926
elav	FBgn0260400	22.60274873	22.76388234	21.67933275	22.41256954	23.43637614	22.03797219	22.93697593	22.78130666	22.8814599	23.35494892	22.22761127	22.42084786	22.46022864	22.38696799	22.45902521	22.38751406	25.00006742	25.63605326	24.79638712	24.21992713	25.99785568	26.4291011	24.93350589	25.89642014	27.64196176	24.90177802	27.66010136	25.87881392	28.05439656	27.9119938	27.63623308	28.11862366	28.90388787	28.87739278	28.61890926	29.12339274	28.76401558	29.03427918	29.38765598	29.55992297	30.37368269	30.28669939	29.7469999	30.42422294	29.56775814	30.39733902	30.14016874	31.23169229	30.38226434	30.5188773	30.17617026	30.48125699	30.02538224	30.83258628	30.56283659	30.82145274
CG17896	FBgn0023537	33.34638591	33.59345798	33.52857357	33.42191808	33.36697839	33.42279536	33.21154181	33.80087323	33.40070159	33.28195531	32.7292301	33.42091481	33.02767424	32.55346018	33.00100155	33.09861031	33.13678145	33.08545305	33.06703739	33.04025637	32.82663257	32.64166467	33.16248966	32.99023682	32.38625342	32.99052425	32.39963253	32.88370918	33.10149357	32.66871026	32.8927831	32.91780172	32.48697254	32.42033762	32.0010519	32.94305792	32.78134505	32.95618883	32.59232217	32.82471839	33.17750745	32.62189399	32.47372987	32.88727296	32.836523	32.91789061	32.78637853	32.69287047	32.49893053	32.34997464	32.88367276	33.03441366	32.61511152	33.02096939	33.26891172	33.20516022
CG18273	FBgn0029525	28.60126861	28.88655	28.75487211	27.75027855	27.35346508	27.69829623	28.63823725	28.19990003	28.87718798	29.23423034	28.41828294	29.23899709	29.59145746	29.76731899	29.34451942	29.45951467	29.31254904	28.21377668	29.44365715	29.3240148	29.34830277	29.24594788	29.41215684	29.00021251	29.46847626	29.34028043	29.1815353	29.08501927	29.52372657	29.489128	29.47842445	29.19262919	29.78640579	29.60379942	29.106644	29.67766295	29.93368035	30.33223457	29.91712592	29.07991804	29.87733427	30.08486725	30.11594806	30.03078486	31.21129521	30.49409721	30.73996971	29.66758144	29.61512468	29.36285722	30.41346889	30.4159887	30.93971703	30.56674252	30.7879941	30.78433214
ebo	FBgn0266572	23.51252624	22.59482787	22.60803201	22.74175803	22.54168482	22.60174789	22.30233015	22.38262059	24.95834606	25.45948246	25.53531359	25.94261208	26.27041845	26.11899983	26.01851086	26.24918016	25.60540763	25.2333391	25.76189996	25.86258969	26.30634725	26.13672645	25.45513053	26.08596438	26.46586367	25.87086568	26.60837192	26.63353341	26.07046493	26.31855191	25.91551982	25.68094193	26.55618128	25.58923715	26.11656289	26.12646329	25.6836481	25.77797554	26.26112276	25.69428944	25.84162961	25.91727391	25.62399577	25.52975509	25.01383569	25.46811886	25.27760354	25.41738064	25.58706352	26.1271585	25.57021499	25.74640094	22.83661151	22.4305684	22.73155207	22.27542436
Cyp4g1	FBgn0010019	22.9512087	22.32487222	22.25103261	22.48478893	22.52041347	21.96938904	22.65526656	22.47206099	23.02529644	22.47421075	23.05724645	21.73830245	25.33383403	22.98398551	22.51345734	22.17295599	22.19820707	22.86447427	22.85705006	22.01109763	22.3849639	22.40004054	22.41440866	22.78305448	22.4150605	22.49175939	22.67679132	22.41716178	22.81533146	22.19619421	22.71960926	22.59325804	22.60825687	22.41348031	23.34743728	22.75818937	22.72182752	22.82884462	22.09547783	22.69096349	22.46469153	23.00326047	22.83091312	22.50401827	22.69305692	22.53151789	22.63499668	22.4654166	25.90611752	25.66615633	25.83921742	25.89575924	26.4285102	26.10201445	27.11525357	26.82408103
CG13377	FBgn0261446	22.62203566	22.3649672	22.61794505	22.56136855	22.15584229	22.00824818	22.16504359	22.74055008	22.58464028	22.9652428	22.53522592	22.35002707	22.24753967	22.74053674	22.06979199	22.49512631	22.25547398	22.72987098	22.06426772	23.03794866	22.71869679	22.44990574	22.63922744	21.24246246	23.01174735	22.26506147	21.60936007	23.01912274	22.91830128	22.77271107	22.40077416	22.51810692	22.6310706	22.7783257	22.15851641	22.486809	21.9854164	22.55196731	22.49986304	22.3404172	22.20845503	22.53192976	21.98594595	22.24918307	22.56845709	22.32131911	22.57680871	22.28850969	24.35067577	24.50148526	23.9808972	24.41660891	25.24991958	24.72852965	24.61823717	24.74149744
CG3038	FBgn0040373	21.76129965	23.20041373	22.65855637	22.58163018	28.11807903	27.98941821	27.95900215	29.05118551	28.40153592	27.44923965	26.96080057	27.77888652	26.86128931	27.6468473	26.52089762	27.84379926	27.15904012	26.95004697	26.87642702	28.16466092	27.34418075	26.54745564	27.0292847	27.10349592	27.54266716	27.34697233	27.14481863	27.27595326	27.18848487	27.60002813	27.84768688	27.10809119	27.84272084	28.14355418	27.26874444	27.85810178	27.94503083	27.84086166	28.03632456	28.10024069	28.28938446	27.77718407	27.70990858	27.34468872	27.41159128	27.88040299	27.30556471	27.52267946	28.17297977	28.02178687	27.38063465	27.77850059	27.36936225	27.97841973	27.5911364	27.14228861
Appl	FBgn0000108	22.63927271	22.4897818	22.04365072	20.63315784	22.30465657	22.4864959	22.42374249	22.66712078	22.58751057	22.03737774	22.72660263	22.56273823	22.70749314	22.46112005	22.23277309	22.70824905	21.42243099	22.75673171	22.20827963	22.46944386	22.32989364	22.55767765	22.68855496	22.67997516	22.5177764	22.51085251	22.45616112	23.17667806	22.57316795	22.23515563	22.46762393	22.19348437	22.65884736	22.59066597	22.55331841	22.54815715	22.74536427	22.63208681	22.37270162	22.69413243	25.92916132	26.17992567	26.12280292	26.10637444	25.56840998	25.23216818	25.54839674	25.8477949	25.78839089	25.58591818	25.53198701	25.79163747	25.70901459	25.87663778	26.35051745	26.66857925
CG17829	FBgn0025635	22.48526198	22.50077919	22.81054435	22.66317192	22.22196722	22.38981391	22.27168077	22.85053769	26.5431921	26.58161505	26.79476368	25.8956668	25.80338758	25.84691157	25.66691762	25.48912208	26.29741855	26.16077193	26.06530829	26.10516791	26.38447694	25.94089334	25.98279053	26.17029	26.44535932	26.07181552	25.86662751	25.98298418	25.68056642	26.09069314	25.52504186	25.42239538	22.16165985	22.65972479	21.86835867	22.90322769	22.07100864	22.37514858	22.24694719	22.51792232	22.64151923	22.45590784	22.5525423	22.9047645	22.01806871	22.35665816	22.47776816	21.86281753	22.69540208	22.61310018	22.55767598	22.81282178	22.60031355	22.70518683	22.83266977	22.36938641
l(1)1Bi	NA	28.56449108	26.54086553	27.03380676	27.13951516	26.86502318	25.84472128	27.0910363	26.61694812	27.41417488	29.05917606	29.99536809	29.24159052	30.67572966	29.99469396	30.64271928	30.64048001	30.88765427	30.03301905	30.6047893	30.68177308	30.90519419	30.38576503	30.72468412	30.57767721	31.01903141	30.73586096	30.70511992	30.59646024	30.97418555	31.04309551	31.07940946	30.96271836	31.4432224	31.42201836	30.79954223	31.22135694	31.09282645	31.40527432	31.35961462	31.34154283	31.76686897	31.48481386	31.68929192	31.5728075	32.55919365	31.75382071	31.79985098	31.13222201	31.37041239	30.86415244	31.46776721	32.03403643	32.15822159	31.81996937	32.07016036	31.91915236
su(s)	NA	25.6248046	25.69463483	25.82478514	25.3540707	25.18756019	25.76151958	26.18440428	26.35858803	25.81609323	26.83761735	26.75760853	26.56252729	25.92897389	26.23365532	25.89506581	26.67909024	26.51632066	26.29487984	26.64732469	26.57536705	25.64910791	26.32158271	26.1710048	26.25677507	26.86643886	25.7011552	26.3664136	25.94102772	26.96521181	26.48797128	26.33287478	26.41142965	26.92104822	26.4781081	26.78431653	26.03724665	26.27850774	25.55162707	26.73311527	26.12697523	25.86587276	26.43013858	25.87044242	26.21217233	26.32147949	26.80747147	25.98621784	26.06722656	26.32445265	27.33773105	26.65826357	25.79978615	26.409958	26.46277846	26.62992154	27.07247761
CG13367	FBgn0025634	22.45085954	22.50017677	21.76513796	21.84736003	22.70431432	22.50066101	22.43347854	22.5916033	22.66123262	22.67015175	22.68705313	23.50430305	22.46657583	22.5282351	22.44942479	22.69690883	22.69416632	22.83722657	22.47663029	21.68189684	22.55548115	22.31819918	22.48185085	22.43047121	22.86684845	22.36323098	22.78054511	22.85259765	22.86904447	22.92752378	22.35902071	22.57280424	22.65702629	22.33667072	22.81089159	22.7920659	26.42963287	26.16441761	26.4042188	26.8473997	26.38721761	26.35675929	26.41967013	26.39946808	26.66953904	26.78718459	26.17588483	26.75887951	26.83666352	26.54629994	25.91879847	26.49092271	26.80888508	26.44411152	26.16816904	26.64663825
Roc1a	FBgn0025638	22.3667066	22.59496316	23.00905181	23.14036775	22.64950834	22.84939402	21.84588431	22.58862998	25.30770145	26.4960382	26.4862902	26.85031629	27.21431202	27.24970461	27.23911107	27.58161505	28.03721522	27.02844182	26.88157032	26.85744934	27.20134981	26.66349597	26.51398909	26.6077027	27.27448149	26.12082225	27.10878876	27.07938132	27.67898866	27.55946719	27.16077725	27.56806345	27.4405037	27.29368774	26.90426122	27.20228438	26.85237235	26.88040299	26.92127528	27.17911638	27.67801571	26.97059727	27.25205325	27.6314533	26.1536969	27.74143314	27.49845981	28.50161399	27.47382662	27.72552946	26.66492291	27.16748706	26.1221327	27.42462341	26.39737982	27.32551669
SkpA	FBgn0025637	28.27306515	27.77127627	27.91450512	27.83701575	28.33026951	26.44852923	27.71332169	27.16365367	28.90276721	28.09285164	25.9659824	28.09987031	28.70319009	29.2656854	29.27899063	29.47859803	29.06661086	29.83647409	29.2516696	29.06386264	29.35449533	29.38997518	28.91715438	29.2699707	29.2503599	29.50945053	29.406694	28.76278079	28.8485527	29.14051008	29.35510472	29.40740331	29.18454143	29.47792288	29.7081332	29.1957531	29.07966377	28.76913343	29.32680278	29.54194751	29.66107036	29.26261985	29.32079119	29.29149379	26.90781763	29.58693829	29.26266465	29.52372657	29.11450911	29.38825153	29.33722063	29.41367063	27.55420614	29.2609613	29.1141119	29.20097581
sdk	FBgn0021764	27.93359593	27.78562657	28.52275428	27.37484368	27.41602898	29.0349613	28.01281232	29.1499865	29.40572065	29.42758344	28.85442053	29.69007496	29.83827882	29.80545865	29.80065341	29.71491063	29.76684528	29.23144053	29.90311212	29.66756453	29.28330289	29.51035637	29.65788892	29.61191051	29.6145807	29.5860972	29.34451942	29.61670279	29.68822496	29.65683257	29.75420313	29.53228062	29.56558093	29.25126327	29.06136674	29.46814606	29.12467498	29.50992239	29.38104741	29.06899524	29.2611407	29.25315849	29.05535373	29.37345453	29.30321455	28.96380719	29.03745089	28.63934181	29.28617059	29.25714387	29.19455601	29.00501394	28.62669244	28.93266708	28.7532469	28.53140704
CG5254	FBgn0040383	26.63367198	26.22328262	26.43387541	26.59448723	26.51189286	26.22841138	26.86832427	26.50375805	26.80980345	26.16252606	26.30620816	26.88618246	26.54995407	27.04429316	27.17014369	26.60183396	21.68025644	22.40944702	22.40969793	22.66245466	22.9257156	22.89325231	22.28452863	22.55336046	22.44487477	22.6141225	22.54709811	22.43339358	22.36586364	22.53947345	22.45396946	22.56661421	27.52561209	27.50589718	26.44724007	27.03559065	28.1017941	27.67754535	27.15836607	27.52267946	28.41429587	28.79529025	28.6371664	28.2178953	28.45187295	28.66071343	28.56605293	27.86189196	27.99399254	27.29403846	27.69856119	28.69644016	27.7332446	28.57177735	28.73026717	28.59156446
tw	FBgn0086368	22.50221829	22.09996461	23.48885142	22.17503348	22.89448282	22.88684379	22.60582303	22.81183666	22.61506006	22.12178654	22.77146123	22.19792146	22.89581971	21.8393463	22.05971134	22.51200478	22.6122596	22.48366624	23.31704062	22.99266392	22.4388302	22.2541293	22.51165171	22.70043425	22.66657846	22.44472278	23.14720238	22.52584205	22.5994399	22.51223995	22.72965795	22.65869137	22.53413241	22.19094405	22.24528089	22.48367755	22.49853317	22.12968101	22.84197527	22.41106466	24.99593384	24.90361784	25.3192248	24.77455192	25.6325908	24.67465262	24.81533599	25.10968562	24.64729724	25.22511632	24.38905141	25.4523051	26.1788885	25.70303163	25.15201462	25.84126968
