gene_names	gene_ids	imputed.log2.LFQ.intensity.00h_1	imputed.log2.LFQ.intensity.00h_2	imputed.log2.LFQ.intensity.00h_3	imputed.log2.LFQ.intensity.00h_4	imputed.log2.LFQ.intensity.01h_1	imputed.log2.LFQ.intensity.01h_2	imputed.log2.LFQ.intensity.01h_3	imputed.log2.LFQ.intensity.01h_4	imputed.log2.LFQ.intensity.02h_1	imputed.log2.LFQ.intensity.02h_2	imputed.log2.LFQ.intensity.02h_3	imputed.log2.LFQ.intensity.02h_4	imputed.log2.LFQ.intensity.03h_1	imputed.log2.LFQ.intensity.03h_2	imputed.log2.LFQ.intensity.03h_3	imputed.log2.LFQ.intensity.03h_4	imputed.log2.LFQ.intensity.04h_1	imputed.log2.LFQ.intensity.04h_2	imputed.log2.LFQ.intensity.04h_3	imputed.log2.LFQ.intensity.04h_4	imputed.log2.LFQ.intensity.05h_1	imputed.log2.LFQ.intensity.05h_2	imputed.log2.LFQ.intensity.05h_3	imputed.log2.LFQ.intensity.05h_4	imputed.log2.LFQ.intensity.06h_1	imputed.log2.LFQ.intensity.06h_2	imputed.log2.LFQ.intensity.06h_3	imputed.log2.LFQ.intensity.06h_4	imputed.log2.LFQ.intensity.08h_1	imputed.log2.LFQ.intensity.08h_2	imputed.log2.LFQ.intensity.08h_3	imputed.log2.LFQ.intensity.08h_4	imputed.log2.LFQ.intensity.10h_1	imputed.log2.LFQ.intensity.10h_2	imputed.log2.LFQ.intensity.10h_3	imputed.log2.LFQ.intensity.10h_4	imputed.log2.LFQ.intensity.12h_1	imputed.log2.LFQ.intensity.12h_2	imputed.log2.LFQ.intensity.12h_3	imputed.log2.LFQ.intensity.12h_4	imputed.log2.LFQ.intensity.14h_1	imputed.log2.LFQ.intensity.14h_2	imputed.log2.LFQ.intensity.14h_3	imputed.log2.LFQ.intensity.14h_4	imputed.log2.LFQ.intensity.16h_1	imputed.log2.LFQ.intensity.16h_2	imputed.log2.LFQ.intensity.16h_3	imputed.log2.LFQ.intensity.16h_4	imputed.log2.LFQ.intensity.18h_1	imputed.log2.LFQ.intensity.18h_2	imputed.log2.LFQ.intensity.18h_3	imputed.log2.LFQ.intensity.18h_4	imputed.log2.LFQ.intensity.20h_1	imputed.log2.LFQ.intensity.20h_2	imputed.log2.LFQ.intensity.20h_3	imputed.log2.LFQ.intensity.20h_4
TfIIS	FBgn0010422	28.09898672	28.05444832	27.40989328	27.70675083	28.41804162	27.50514002	28.24168143	27.58383993	28.11505508	27.98620002	28.70193514	27.52723633	28.21345224	28.34028043	29.10076703	29.01446272	28.84490681	28.54285163	28.36348398	28.59985083	28.69498014	28.84406874	28.21507369	29.10759208	29.09441303	28.76584999	29.54327581	28.81784434	28.94937915	28.9442769	28.93441171	28.98993919	29.16490064	29.05793749	29.41556568	29.21773355	28.63075926	28.42650413	29.22273927	28.77055184	28.65652574	29.1150799	29.15409785	29.19204123	28.6142472	29.02152215	29.17052257	29.65604832	29.61754375	30.07316485	29.31510007	28.59637137	28.80802412	29.01387731	29.24791799	29.36337954
ck	FBgn0000317	23.67381566	22.46077978	22.5907526	22.95542127	25.27023441	24.8797757	25.94703938	24.33155992	25.42627218	24.90039661	28.73178901	25.41963363	25.96077848	26.19435875	26.65471753	26.99194026	26.44025075	25.63950742	26.77479872	26.91490424	26.40477101	27.53778869	26.31994756	25.7790394	27.39876652	26.58734971	27.16605073	26.04739255	27.25376714	26.53786273	26.53371066	26.94926782	26.74560622	26.70648738	26.82626509	26.22903514	26.77693316	26.41028157	27.63429536	26.61048556	27.13290837	27.26660156	27.67006621	26.69112391	28.53430454	26.49009643	26.93629466	27.29123029	27.91233651	28.74352119	28.39423443	27.30138399	29.33394115	27.77749763	28.76312917	28.57123487
CIAPIN1	FBgn0001977	28.05992384	27.46068673	26.84864223	27.20471143	27.48776804	26.94659327	27.42149679	27.03475145	26.50963174	26.95171514	26.70134031	26.91010744	28.38331544	28.6587743	29.10374602	28.9348897	28.90764575	28.63211232	28.52678875	28.72194965	28.99231853	28.88567762	28.63096751	29.16956719	29.50165195	29.01446272	29.38966754	29.4304776	29.33182897	29.34134134	28.93882014	28.86705778	29.42049323	29.2602435	29.78219299	29.10799108	28.93910048	28.61904924	28.92569568	29.29979127	28.98693236	28.93910048	28.87346716	29.49228352	28.12119549	28.79810569	29.01385069	29.48031343	29.47210349	29.31633074	29.73076923	28.51043183	28.50036075	29.12659621	28.62693608	28.59081528
l(2)35Be	FBgn0261881	26.3874218	25.90942707	26.22672219	25.85129737	26.68297873	26.73936121	26.67172627	26.69118424	27.13792702	26.41288912	26.57363471	26.39883601	27.14617911	27.43293181	27.56725042	27.9712005	27.44908049	27.32345655	27.67761255	27.52835467	28.36239743	27.7360223	27.69005831	27.62943967	27.67942587	27.89429109	27.96422046	27.20732062	28.0297586	27.69178952	27.41231839	27.73492478	28.49804127	27.43579169	28.4086792	27.37011094	26.97235144	26.95969565	27.93151221	27.73634495	27.45120482	26.98826047	27.38269724	27.74181886	26.72390338	27.57239191	27.33968598	27.43412195	27.75110903	28.05951132	27.85317152	27.12218343	27.21660082	27.07326702	27.28180059	26.62603093
lace	FBgn0002524	27.77329015	28.37326783	28.42534398	28.37065143	28.83403413	28.74371378	28.72721865	29.22094198	29.32212449	29.04095525	28.46571579	29.33413301	28.48150722	28.48887909	28.48335372	28.69514613	28.63089809	28.05987228	28.42878173	28.74152958	28.57711893	27.86997199	28.39864422	27.87449354	28.29087889	28.34138377	28.1718829	27.80876066	28.33547534	28.00319182	28.46248205	28.13848524	28.47591485	27.45049706	27.25574912	28.10294555	28.27377661	28.14879929	27.99614968	27.6434764	27.8479855	28.19549499	27.88652093	28.25065356	28.59612252	28.09858521	28.10734265	27.65792299	27.48308459	27.94139719	28.41021686	28.27755034	28.14637336	28.19342843	28.58938719	28.3501802
UK114	FBgn0086691	30.45218725	30.54949513	30.67547731	30.30932136	30.87628063	30.0805535	30.5113559	30.5552672	30.77807756	30.68511962	29.85540113	30.77029978	30.96966449	30.78120824	31.0939599	31.32275845	31.35247619	31.07035233	30.72061308	30.9549071	30.79079273	30.57479344	30.64615754	30.61359752	31.09477795	30.87884022	30.70709655	30.62549106	31.12441616	30.66101937	30.835601	30.899011	30.92903035	31.0457013	30.45601234	30.88678255	30.76738214	30.58028566	30.47218098	30.89272883	31.03970094	30.44618401	30.75062997	31.42582416	30.07252612	30.88241604	30.89987536	30.98094068	30.90318397	30.55380346	30.78830533	31.04211713	29.57110826	30.54480552	30.88881574	30.9654045
l(2)35Df	NA	29.58430601	29.05612934	28.50127231	28.44908049	29.11391326	27.88663721	30.0930784	28.45289418	29.17545658	29.23842774	30.44430903	28.24585724	29.97076181	30.00222623	30.00329907	30.09559554	30.38689579	30.1112289	30.15218874	30.19741799	30.16782199	30.53519491	30.11035789	30.33340806	30.35940517	30.23717436	30.70553194	30.358043	30.5271058	30.63348144	30.25788569	30.48625334	30.73835983	30.53704809	30.84699984	30.71881818	30.54710625	30.28780043	30.78573569	30.26416463	30.5262664	30.88314471	30.75047025	30.693286	30.99685006	30.95185407	30.98569802	30.51418102	30.98413662	31.12145489	30.9216016	31.02432571	31.399276	30.93789465	31.07985447	30.72679654
CG3793	FBgn0028507	22.19621232	22.87227203	22.48914523	22.62152412	22.73629656	22.641416	22.86716957	22.72135541	23.06100743	21.78460528	22.07694059	22.35346675	25.29258076	25.39046059	25.33073966	25.86381492	25.90281562	25.40746409	25.35154041	25.41971056	26.07308311	25.43160574	25.89427046	26.10946378	25.87862685	26.0322224	25.68533354	25.80497533	25.52294879	25.82779212	25.62505749	25.70782232	26.24296269	25.65200367	25.98117461	26.53342821	25.87520864	25.90613982	25.78508186	25.27240058	22.48927774	22.55940806	22.48516587	22.4648961	22.58929759	22.15560621	21.97424535	22.32080558	22.13958403	21.99798637	22.58764005	22.57311622	22.34233857	22.40889295	22.64690156	22.88570819
Ku80	FBgn0041627	26.0814376	26.37345038	25.77771082	26.11797008	25.66405486	26.13076975	26.981526	25.82476087	26.15605267	26.44341608	26.76875495	26.16146407	26.06208765	26.2951602	25.81408935	26.05763285	25.39577939	25.93109511	26.35580206	25.83477559	25.92890615	26.39373544	26.10809082	26.21206098	26.10753222	25.81009775	26.06591274	26.28047373	26.1638072	26.08733804	25.59659175	25.83992516	26.51016015	26.14020288	26.3569943	25.76004783	25.72080223	25.82344946	26.29789078	25.03657609	26.09709869	26.09633474	25.64570416	25.79845183	25.68324652	26.01143731	25.70202765	25.67179457	26.0421615	25.3877176	25.77200663	25.25727878	25.57640546	25.73200259	26.06735115	25.77145259
Gli	FBgn0001987	22.45414958	22.52455375	22.50458325	22.80050442	22.44399536	23.51520875	22.53003874	21.92889068	22.52943315	22.42716746	22.55811609	22.72929649	28.02498284	28.27085837	28.21310585	28.08780337	28.2218975	28.13879904	28.71413903	28.4264255	29.08711233	28.62814389	28.86855978	29.47934516	26.56996104	27.46536085	26.88599755	27.69391738	28.38788191	28.13535702	28.25119553	28.17868909	28.39839958	28.16091615	27.77931499	28.60600803	28.22517816	28.4390461	28.75117289	28.50555651	29.05780841	29.07347134	29.05925343	29.13909543	28.85218939	28.6845847	28.9564312	28.84068161	28.46874814	28.53697401	28.95213189	29.03907337	28.91185098	28.97089891	29.1507613	29.52921147
